Category,Disc,disc_type
total,1.40,above
duff,0.59,above
litter,-0.03,below
1hr,0.02,above
10hr,0.42,above
100hr,0.41,above
1000hr,-0.13,below
herb,0.08,above
shrub,0.04,above
