Category,Disc,disc_type
total,-4.52,below
duff,-1.83,below
litter,-0.28,below
1hr,0.04,above
10hr,0.14,above
100hr,0.11,above
1000hr,-2.77,below
herb,0.02,above
shrub,0.06,above
