Category,Disc,disc_type
total,-5.38,below
duff,-4.79,below
litter,0.56,above
1hr,0.04,above
10hr,0.13,above
100hr,0.01,above
1000hr,-1.39,below
herb,0.01,above
shrub,0.05,above
