epShort,samplingStartDate,plot,treeTagNo,scientificName,dbh_in,ht_ft,htlc_ft,cbh_ft,status,crownScorch_%,maxScorchHt_ft,minBoleChar_ft,maxBoleChar_ft,burnSeverity
PRE,20-Sep-16,3,408,Abies grandis,3.4,18,3,2,L,100,18,0.1,1,3
PRE,20-Sep-16,9,465,Pseudotsuga menziesii,3.4,29,17,7,L,100,29,0.1,0.1,2
PRE,20-Sep-16,9,468,Pseudotsuga menziesii,3.4,23,17,8,L,100,23,0.1,4,3
PRE,20-Sep-16,11,2441,Pseudotsuga menziesii,3.4,30,18,8,L,100,30,3,8,3
PRE,20-Sep-16,1,406,Pinus ponderosa,3.3,18,15,7,L,100,18,3,4,3
PRE,20-Sep-16,11,497,Abies grandis,3.3,22,18,9,L,100,22,2,4,3
PRE,20-Sep-16,11,2417,Pseudotsuga menziesii,3.3,20,,16,D,100,20,4,6,3
PRE,12-Sep-16,5,1355,Abies grandis,3.3,14,9,7,L,100,14,4,5,3
PRE,20-Sep-16,5,423,Pseudotsuga menziesii,3.2,15,3,1,L,100,15,2,6,3
PRE,20-Sep-16,7,441,Pseudotsuga menziesii,3.2,18,6,1,L,100,18,3,6,3
PRE,20-Sep-16,11,2449,Pseudotsuga menziesii,3.2,31,26,8,L,100,31,7,9,3
PRE,20-Sep-16,11,2427,Pseudotsuga menziesii,3.2,16,7,3,L,100,16,4,6,3
PRE,12-Sep-16,5,1353,Abies grandis,3.2,12,,6,D,100,12,3,7,3
PRE,20-Sep-16,9,481,Abies grandis,3.1,21,10,2,L,100,21,21,21,4
PRE,20-Sep-16,11,200,Pseudotsuga menziesii,3.1,21,17,12,L,100,21,3,6,3
PRE,20-Sep-16,11,2422,Pseudotsuga menziesii,3.1,18,11,6,L,100,18,5,6,3
PRE,20-Sep-16,11,488,Pseudotsuga menziesii,3.1,34,23,15,L,100,34,4,10,3
PRE,20-Sep-16,13,2454,Pinus ponderosa,3.1,18,13,5,L,100,18,0.1,1,3
PRE,20-Sep-16,13,2479,Pinus ponderosa,3.1,20,13,3,L,100,20,0.1,6,3
PRE,20-Sep-16,15,154,Pinus ponderosa,3.1,16,9,4,L,100,16,0.1,0.1,3
PRE,12-Sep-16,5,1354,Abies grandis,3.1,12,,7,D,100,12,4,8,3
PRE,10-Sep-16,1,906,Pinus ponderosa,3.1,13,6,4,L,100,13,1,8,3
PRE,20-Sep-16,15,155,Pinus ponderosa,2.9,11,7,5,L,100,11,0.1,0.1,3
PRE,12-Sep-16,5,1358,Pinus ponderosa,2.8,23,13,6,L,100,23,0.1,7,3
PRE,12-Sep-16,7,46,Pinus ponderosa,2.8,20,0,,D,100,20,20,20,5
PRE,10-Sep-16,7,939,Pseudotsuga menziesii,2.8,13,1,1,L,100,13,0.1,2,3
PRE,12-Sep-16,15,56,Abies grandis,2.7,12,2,1,L,100,12,0.1,2,3
PRE,12-Sep-16,19,146,Pinus ponderosa,2.7,23,11,11,L,100,23,1,6,3
PRE,12-Sep-16,5,29,Pseudotsuga menziesii,2.6,16,4,3,L,100,16,3,4,3
PRE,12-Sep-16,17,129,Pseudotsuga menziesii,2.5,25,,6,D,100,25,4,8,3
PRE,12-Sep-16,5,36,Pseudotsuga menziesii,2.3,17,3,2,L,100,17,3,4,3
PRE,12-Sep-16,15,105,Abies grandis,2.3,14,11,7,L,100,14,1,2,3
